id_driver,recency,frequency,monetary_value,updated_at
180006,16,1,682,2020-03-23 07:12:30.410 UTC
498821,7,39,895,2020-03-23 07:12:30.410 UTC
534691,15,21,509,2020-03-23 07:12:30.410 UTC
444745,6,23,366,2020-03-23 07:12:30.410 UTC
441693,29,1,554,2020-03-23 07:12:30.410 UTC
289265,6,119,3431,2020-03-23 07:12:30.410 UTC
214540,6,103,1749,2020-03-23 07:12:30.410 UTC
94079,8,14,512,2020-03-23 07:12:30.410 UTC
315454,6,156,4304,2020-03-23 07:12:30.410 UTC
593445,7,141,2252,2020-03-23 07:12:30.410 UTC
235544,6,203,6379,2020-03-23 07:12:30.410 UTC
45491,6,26,1104,2020-03-23 07:12:30.410 UTC
631161,17,3,744,2020-03-23 07:12:30.410 UTC
539069,6,122,1004,2020-03-23 07:12:30.410 UTC
549582,8,22,358,2020-03-23 07:12:30.410 UTC
272232,8,91,4671,2020-03-23 07:12:30.410 UTC
274434,9,18,769,2020-03-23 07:12:30.410 UTC
230771,10,152,4562,2020-03-23 07:12:30.410 UTC
120892,7,41,2115,2020-03-23 07:12:30.410 UTC
218047,15,22,829,2020-03-23 07:12:30.410 UTC
258542,7,2,363,2020-03-23 07:12:30.410 UTC
432793,7,107,2280,2020-03-23 07:12:30.410 UTC
255360,12,43,1009,2020-03-23 07:12:30.410 UTC
26412,8,14,794,2020-03-23 07:12:30.410 UTC
13740,11,5,679,2020-03-23 07:12:30.410 UTC
201778,7,216,10700,2020-03-23 07:12:30.410 UTC
200178,9,30,996,2020-03-23 07:12:30.410 UTC
203004,9,28,426,2020-03-23 07:12:30.410 UTC
140444,7,11,1051,2020-03-23 07:12:30.410 UTC
48257,12,15,2287,2020-03-23 07:12:30.410 UTC
513843,8,61,866,2020-03-23 07:12:30.410 UTC
68945,9,48,1701,2020-03-23 07:12:30.410 UTC
71797,3,41,2248,2020-03-23 07:12:30.410 UTC
113120,7,25,1147,2020-03-23 07:12:30.410 UTC
663640,2,42,175,2020-03-23 07:12:30.410 UTC
89437,7,54,5865,2020-03-23 07:12:30.410 UTC
660518,7,55,1184,2020-03-23 07:12:30.410 UTC
387664,11,12,4221,2020-03-23 07:12:30.410 UTC
304724,14,10,454,2020-03-23 07:12:30.410 UTC
52553,18,3,693,2020-03-23 07:12:30.410 UTC
377351,3,27,336,2020-03-23 07:12:30.410 UTC
283512,22,7,842,2020-03-23 07:12:30.410 UTC
299162,15,17,220,2020-03-23 07:12:30.410 UTC
122453,8,22,1091,2020-03-23 07:12:30.410 UTC
331394,11,16,359,2020-03-23 07:12:30.410 UTC
21860,3,1,6413,2020-03-23 07:12:30.410 UTC
66335,7,14,525,2020-03-23 07:12:30.410 UTC
4979,6,134,5380,2020-03-23 07:12:30.410 UTC
252845,7,4,2021,2020-03-23 07:12:30.410 UTC
29312,9,41,3121,2020-03-23 07:12:30.410 UTC
8526,2,105,4768,2020-03-23 07:12:30.410 UTC
237130,13,4,5,2020-03-23 07:12:30.410 UTC
30015,6,91,1865,2020-03-23 07:12:30.410 UTC
51829,7,48,1085,2020-03-23 07:12:30.410 UTC
49939,7,45,934,2020-03-23 07:12:30.410 UTC
41351,6,70,1204,2020-03-23 07:12:30.410 UTC
27162,8,42,2619,2020-03-23 07:12:30.410 UTC
77554,27,4,3917,2020-03-23 07:12:30.410 UTC
179933,7,218,1197,2020-03-23 07:12:30.410 UTC
128687,9,49,1719,2020-03-23 07:12:30.410 UTC
207569,10,10,665,2020-03-23 07:12:30.410 UTC
126814,8,57,4165,2020-03-23 07:12:30.410 UTC
252841,7,38,772,2020-03-23 07:12:30.410 UTC
141120,7,54,751,2020-03-23 07:12:30.410 UTC
15258,7,15,3533,2020-03-23 07:12:30.410 UTC
6848,9,58,4680,2020-03-23 07:12:30.410 UTC
9319,1,23,1380,2020-03-23 07:12:30.410 UTC
680794,9,184,1068,2020-03-23 07:12:30.410 UTC
331762,8,77,749,2020-03-23 07:12:30.410 UTC
686607,6,84,783,2020-03-23 07:12:30.410 UTC
124872,18,81,2077,2020-03-23 07:12:30.410 UTC
579395,6,72,526,2020-03-23 07:12:30.410 UTC
8001,7,111,481,2020-03-23 07:12:30.410 UTC
729361,7,282,2128,2020-03-23 07:12:30.410 UTC
445673,6,42,452,2020-03-23 07:12:30.410 UTC
721422,6,83,555,2020-03-23 07:12:30.410 UTC
700562,12,54,1022,2020-03-23 07:12:30.410 UTC
355428,9,68,1815,2020-03-23 07:12:30.410 UTC
123398,8,3,324,2020-03-23 07:12:30.410 UTC
724700,8,70,409,2020-03-23 07:12:30.410 UTC
605345,8,55,1100,2020-03-23 07:12:30.410 UTC
5916,6,109,1563,2020-03-23 07:12:30.410 UTC
710411,7,79,586,2020-03-23 07:12:30.410 UTC
376809,14,23,1335,2020-03-23 07:12:30.410 UTC
701819,7,89,841,2020-03-23 07:12:30.410 UTC
670472,8,8,164,2020-03-23 07:12:30.410 UTC
268604,8,43,546,2020-03-23 07:12:30.410 UTC
708994,6,124,1331,2020-03-23 07:12:30.410 UTC
268608,9,9,1251,2020-03-23 07:12:30.410 UTC
698035,11,189,2182,2020-03-23 07:12:30.410 UTC
673515,8,126,1251,2020-03-23 07:12:30.410 UTC
146817,8,140,1022,2020-03-23 07:12:30.410 UTC
734173,11,27,285,2020-03-23 07:12:30.410 UTC
487533,5,10,95,2020-03-23 07:12:30.410 UTC
425193,7,140,1113,2020-03-23 07:12:30.410 UTC
673931,22,38,1127,2020-03-23 07:12:30.410 UTC
714287,6,150,1415,2020-03-23 07:12:30.410 UTC
158756,10,18,277,2020-03-23 07:12:30.410 UTC
110974,16,23,278,2020-03-23 07:12:30.410 UTC
728801,6,27,295,2020-03-23 07:12:30.410 UTC
691328,7,289,2856,2020-03-23 07:12:30.410 UTC
351678,9,45,166,2020-03-23 07:12:30.410 UTC
667164,11,35,1148,2020-03-23 07:12:30.410 UTC
686174,14,15,247,2020-03-23 07:12:30.410 UTC
409591,8,67,568,2020-03-23 07:12:30.410 UTC
666496,8,33,821,2020-03-23 07:12:30.410 UTC
510436,8,94,956,2020-03-23 07:12:30.410 UTC
387144,7,41,401,2020-03-23 07:12:30.410 UTC
712436,7,77,561,2020-03-23 07:12:30.410 UTC
690496,9,154,1370,2020-03-23 07:12:30.410 UTC
722303,6,78,1172,2020-03-23 07:12:30.410 UTC
726218,6,191,1746,2020-03-23 07:12:30.410 UTC
756108,11,16,629,2020-03-23 07:12:30.410 UTC
772464,7,21,442,2020-03-23 07:12:30.410 UTC
487879,13,9,524,2020-03-23 07:12:30.410 UTC
549066,8,10,90,2020-03-23 07:12:30.410 UTC
654540,7,158,1754,2020-03-23 07:12:30.410 UTC
759411,8,5,104,2020-03-23 07:12:30.410 UTC
768203,8,74,305,2020-03-23 07:12:30.410 UTC
757409,20,4,268,2020-03-23 07:12:30.410 UTC
760075,10,104,851,2020-03-23 07:12:30.410 UTC
100205,6,287,784,2020-03-23 07:12:30.410 UTC
22784,2,99,994,2020-03-23 07:12:30.410 UTC
374980,6,110,826,2020-03-23 07:12:30.410 UTC
697479,10,92,517,2020-03-23 07:12:30.410 UTC
88617,7,25,638,2020-03-23 07:12:30.410 UTC
497768,6,228,589,2020-03-23 07:12:30.410 UTC
93598,8,19,435,2020-03-23 07:12:30.410 UTC
675288,6,36,635,2020-03-23 07:12:30.410 UTC
279311,9,22,554,2020-03-23 07:12:30.410 UTC
644422,7,138,1728,2020-03-23 07:12:30.410 UTC
717682,7,80,434,2020-03-23 07:12:30.410 UTC
230507,7,69,2249,2020-03-23 07:12:30.410 UTC
780823,7,183,619,2020-03-23 07:12:30.410 UTC
675128,6,104,787,2020-03-23 07:12:30.410 UTC
320006,1,23,173,2020-03-23 07:12:30.410 UTC
289425,7,80,480,2020-03-23 07:12:30.410 UTC
250674,7,175,1073,2020-03-23 07:12:30.410 UTC
180726,13,42,369,2020-03-23 07:12:30.410 UTC
778885,6,95,406,2020-03-23 07:12:30.410 UTC
688835,27,7,447,2020-03-23 07:12:30.410 UTC
33851,6,125,431,2020-03-23 07:12:30.410 UTC
787057,6,22,97,2020-03-23 07:12:30.410 UTC
757396,6,135,603,2020-03-23 07:12:30.410 UTC
357023,8,123,842,2020-03-23 07:12:30.410 UTC
765433,7,84,332,2020-03-23 07:12:30.410 UTC
739847,6,103,636,2020-03-23 07:12:30.410 UTC
42795,6,13,305,2020-03-23 07:12:30.410 UTC
718475,10,17,1137,2020-03-23 07:12:30.410 UTC
410138,16,66,1110,2020-03-23 07:12:30.410 UTC
49943,15,41,909,2020-03-23 07:12:30.410 UTC
248901,6,64,364,2020-03-23 07:12:30.410 UTC
735395,6,24,313,2020-03-23 07:12:30.410 UTC
751214,6,45,489,2020-03-23 07:12:30.410 UTC
29932,14,37,255,2020-03-23 07:12:30.410 UTC
690071,8,4,107,2020-03-23 07:12:30.410 UTC
695516,25,6,565,2020-03-23 07:12:30.410 UTC
519093,8,97,550,2020-03-23 07:12:30.410 UTC
52037,1,1,289,2020-03-23 07:12:30.410 UTC
537326,7,100,621,2020-03-23 07:12:30.410 UTC
136551,15,51,2993,2020-03-23 07:12:30.410 UTC
114675,15,4,206,2020-03-23 07:12:30.410 UTC
698087,29,1,366,2020-03-23 07:12:30.410 UTC
511060,13,62,1273,2020-03-23 07:12:30.410 UTC
561109,27,9,197,2020-03-23 07:12:30.410 UTC
213647,27,1,313,2020-03-23 07:12:30.410 UTC
343810,7,5,1143,2020-03-23 07:12:30.410 UTC
421457,6,22,283,2020-03-23 07:12:30.410 UTC
605865,8,31,794,2020-03-23 07:12:30.410 UTC
180106,29,3,34,2020-03-23 07:12:30.410 UTC
662608,7,24,158,2020-03-23 07:12:30.410 UTC
673615,9,35,385,2020-03-23 07:12:30.410 UTC
154841,14,24,241,2020-03-23 07:12:30.410 UTC
774129,7,140,429,2020-03-23 07:12:30.410 UTC
758662,8,47,314,2020-03-23 07:12:30.410 UTC
752471,10,68,606,2020-03-23 07:12:30.410 UTC
604712,9,43,206,2020-03-23 07:12:30.410 UTC
739006,6,10,458,2020-03-23 07:12:30.410 UTC
691068,6,90,412,2020-03-23 07:12:30.410 UTC
700965,10,11,169,2020-03-23 07:12:30.410 UTC
752857,7,76,366,2020-03-23 07:12:30.410 UTC
769209,27,5,279,2020-03-23 07:12:30.410 UTC
203481,29,3,650,2020-03-23 07:12:30.410 UTC
628876,8,3,190,2020-03-23 07:12:30.410 UTC
794232,11,24,111,2020-03-23 07:12:30.410 UTC
81802,9,53,141,2020-03-23 07:12:30.410 UTC
760131,9,74,430,2020-03-23 07:12:30.410 UTC
678123,9,46,102,2020-03-23 07:12:30.410 UTC
382007,7,86,417,2020-03-23 07:12:30.410 UTC
219192,9,87,337,2020-03-23 07:12:30.410 UTC
270186,27,19,887,2020-03-23 07:12:30.410 UTC
601496,7,83,396,2020-03-23 07:12:30.410 UTC
532306,15,72,472,2020-03-23 07:12:30.410 UTC
106218,6,11,45,2020-03-23 07:12:30.410 UTC
452800,11,49,439,2020-03-23 07:12:30.410 UTC
712189,9,31,170,2020-03-23 07:12:30.410 UTC
741390,6,75,209,2020-03-23 07:12:30.410 UTC
465120,16,10,401,2020-03-23 07:12:30.410 UTC
498917,14,17,368,2020-03-23 07:12:30.410 UTC
756316,11,3,82,2020-03-23 07:12:30.410 UTC
424040,24,1,73,2020-03-23 07:12:30.410 UTC
742414,11,3,234,2020-03-23 07:12:30.410 UTC
608752,7,51,287,2020-03-23 07:12:30.410 UTC
744932,7,11,191,2020-03-23 07:12:30.410 UTC
480727,8,19,174,2020-03-23 07:12:30.410 UTC
228309,16,4,166,2020-03-23 07:12:30.410 UTC
782674,6,7,134,2020-03-23 07:12:30.410 UTC
665235,1,51,147,2020-03-23 07:12:30.410 UTC
102971,3,37,78,2020-03-23 07:12:30.410 UTC
685619,7,9,28,2020-03-23 07:12:30.410 UTC
724124,8,14,40,2020-03-23 07:12:30.410 UTC
808030,7,145,168,2020-03-23 07:12:30.410 UTC
807337,8,199,254,2020-03-23 07:12:30.410 UTC
802152,1,131,175,2020-03-23 07:12:30.410 UTC
744520,8,126,228,2020-03-23 07:12:30.410 UTC
340823,7,62,62,2020-03-23 07:12:30.410 UTC
815621,8,44,44,2020-03-23 07:12:30.410 UTC
248220,7,92,92,2020-03-23 07:12:30.410 UTC
807510,7,17,17,2020-03-23 07:12:30.410 UTC
785544,7,71,71,2020-03-23 07:12:30.410 UTC
812322,19,44,44,2020-03-23 07:12:30.410 UTC
800370,9,86,98,2020-03-23 07:12:30.410 UTC
752224,24,10,51,2020-03-23 07:12:30.410 UTC
520142,18,1,256,2020-03-23 07:12:30.410 UTC
810840,15,68,68,2020-03-23 07:12:30.410 UTC
813003,9,70,70,2020-03-23 07:12:30.410 UTC
729338,9,6,8,2020-03-23 07:12:30.410 UTC
803713,9,14,14,2020-03-23 07:12:30.410 UTC
807666,8,73,73,2020-03-23 07:12:30.410 UTC
40874,8,2,102,2020-03-23 07:12:30.410 UTC
802096,8,47,47,2020-03-23 07:12:30.410 UTC
783723,6,13,46,2020-03-23 07:12:30.410 UTC
761796,9,10,22,2020-03-23 07:12:30.410 UTC
215728,18,19,19,2020-03-23 07:12:30.410 UTC
795229,11,28,43,2020-03-23 07:12:30.410 UTC
720590,21,6,35,2020-03-23 07:12:30.410 UTC
357851,14,13,49,2020-03-23 07:12:30.410 UTC
747334,14,3,25,2020-03-23 07:12:30.410 UTC
244405,25,18,18,2020-03-23 07:12:30.410 UTC
376830,6,14,14,2020-03-23 07:12:30.410 UTC
762606,14,37,37,2020-03-23 07:12:30.410 UTC
807701,18,3,3,2020-03-23 07:12:30.410 UTC
800010,29,1,10,2020-03-23 07:12:30.410 UTC
809691,28,18,22,2020-03-23 07:12:30.410 UTC
115894,6,260,6557,2020-03-23 07:12:30.410 UTC
174899,8,145,3605,2020-03-23 07:12:30.410 UTC
